population,minimum_age,maximum_age,gender,zipcode,geo_id
50,30,34,female,61747,8600000US61747
5,85,,male,64120,8600000US64120
1389,30,34,male,95117,8600000US95117
231,60,61,female,74074,8600000US74074
56,0,4,female,58042,8600000US58042
524,22,24,female,75241,8600000US75241
10,60,61,female,70631,8600000US70631
13,80,84,female,17260,8600000US17260
1,80,84,female,80612,8600000US80612
68,15,17,female,54725,8600000US54725
306,22,24,female,1119,8600000US01119
5,70,74,male,88436,8600000US88436
4,15,17,female,95569,8600000US95569
8,10,14,female,54832,8600000US54832
29,0,4,male,55370,8600000US55370
0,80,84,female,67639,8600000US67639
22,70,74,female,71456,8600000US71456
15,25,29,male,27862,8600000US27862
25,5,9,male,30522,8600000US30522
8,21,21,male,47038,8600000US47038
12,60,61,female,25502,8600000US25502
7,67,69,female,44682,8600000US44682
238,70,74,male,49230,8600000US49230
16,18,19,female,66080,8600000US66080
180,70,74,male,30204,8600000US30204
6,70,74,male,63774,8600000US63774
18,40,44,male,57566,8600000US57566
274,85,,female,19406,8600000US19406
54,45,49,female,15637,8600000US15637
39,80,84,female,12068,8600000US12068
105,35,39,male,49650,8600000US49650
2099,30,34,female,27604,8600000US27604
2865,,,male,56164,8600000US56164
1265,45,49,male,72762,8600000US72762
32,21,21,male,38330,8600000US38330
5,18,19,female,84522,8600000US84522
27669,,,,91324,8600000US91324
276,80,84,female,39507,8600000US39507
32,45,49,male,47003,8600000US47003
1016,0,4,male,79905,8600000US79905
46,62,64,female,61491,8600000US61491
150,15,17,female,62626,8600000US62626
9,21,21,female,13454,8600000US13454
32,21,21,male,14590,8600000US14590
18,25,29,female,82515,8600000US82515
37,50,54,male,23106,8600000US23106
4,65,66,female,3259,8600000US03259
72,18,19,female,8059,8600000US08059
73,20,20,male,46818,8600000US46818
24,70,74,male,52721,8600000US52721
712,25,29,female,32763,8600000US32763
149,5,9,male,58329,8600000US58329
443,,,male,97037,8600000US97037
21,67,69,male,64866,8600000US64866
4,15,17,male,27109,8600000US27109
1019,,,male,14604,8600000US14604
19,70,74,male,67834,8600000US67834
132,,,male,74534,8600000US74534
46,20,20,male,78616,8600000US78616
0,15,17,female,27982,8600000US27982
71,70,74,female,30576,8600000US30576
1310,40,44,male,969,8600000US00969
141,10,14,female,49946,8600000US49946
238,22,24,female,37874,8600000US37874
644,55,59,female,55378,8600000US55378
6,85,,female,26690,8600000US26690
45,62,64,male,4061,8600000US04061
0,5,9,female,98447,8600000US98447
28,67,69,female,1431,8600000US01431
1,20,20,female,87539,8600000US87539
27,62,64,female,51439,8600000US51439
107,40,44,male,72940,8600000US72940
21,85,,male,32058,8600000US32058
336,0,4,female,6478,8600000US06478
156,40,44,male,12885,8600000US12885
6,80,84,male,39342,8600000US39342
687,15,17,male,46321,8600000US46321
73,60,61,female,70648,8600000US70648
27,35,39,female,84053,8600000US84053
24,30,34,female,43501,8600000US43501
17,0,4,male,25969,8600000US25969
3,21,21,female,20690,8600000US20690
1,21,21,male,54737,8600000US54737
11,15,17,male,59241,8600000US59241
898,10,14,female,27028,8600000US27028
38,20,20,male,48650,8600000US48650
400,40,44,female,87104,8600000US87104
112,21,21,female,85013,8600000US85013
116,62,64,male,92004,8600000US92004
133,67,69,female,14905,8600000US14905
358,75,79,male,62226,8600000US62226
68,21,21,male,6357,8600000US06357
22213,,,female,32738,8600000US32738
9,60,61,male,56292,8600000US56292
4,60,61,female,38731,8600000US38731
37,70,74,male,61937,8600000US61937
11,85,,female,62421,8600000US62421
6,45,49,female,83212,8600000US83212
16,18,19,male,29474,8600000US29474
14,21,21,male,43718,8600000US43718
